w ang1 ang2 absval 
63.0957344480 -1.5470323778 -4.6569298211 0.0158424678 
66.0693448008 -1.5481011381 -4.6594248780 0.0151299820 
69.1830970919 -1.5491218987 -4.6618077699 0.0144494935 
72.4435960075 -1.5500968066 -4.6640835282 0.0137995710 
75.8577575029 -1.5510279141 -4.6662569600 0.0131788467 
79.4328234724 -1.5519171824 -4.6683326578 0.0125860134 
83.1763771103 -1.5527664860 -4.6703150093 0.0120198217 
87.0963589956 -1.5535776159 -4.6722082061 0.0114790777 
91.2010839356 -1.5543522837 -4.6740162522 0.0109626406 
95.4992586021 -1.5550921247 -4.6757429727 0.0104694204 
100.0000000000 -1.5557987012 -4.6773920214 0.0099983755 
